epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,754.018,2.73645,3.35568,1.87383,0.22109,0.14566,0.09323,0.02684,2.97624,3.69774,2.68171,0.0802061,0.000199939,0.000199939
2,1532.03,2.42406,2.69878,1.65594,0.32351,0.24881,0.18021,0.05222,2.77048,3.72423,2.53911,0.0604021,0.000395979,0.000395979
3,2279.44,2.32371,2.4819,1.58705,0.43924,0.33507,0.31707,0.09696,2.68402,3.00303,2.49317,0.0405942,0.00058806,0.00058806
4,2969.43,2.26212,2.33086,1.54765,0.48426,0.36598,0.36726,0.11854,2.60594,2.79954,2.32558,0.0207823,0.000776181,0.000776181
5,3670.26,2.2309,2.25178,1.51924,0.52308,0.38789,0.39411,0.13091,2.56168,2.5027,2.28707,0.000966465,0.000960341,0.000960341
6,4350.65,2.19658,2.17141,1.4902,0.54461,0.41087,0.42519,0.1405,2.50046,2.5288,2.19367,0.0009505,0.0009505,0.0009505
7,5042.76,2.16548,2.12328,1.47717,0.56376,0.42266,0.4417,0.14807,2.52138,2.34294,2.22523,0.0009406,0.0009406,0.0009406
8,5788.34,2.14992,2.05277,1.45964,0.58673,0.43158,0.46108,0.15478,2.47336,2.23374,2.19012,0.0009307,0.0009307,0.0009307
9,6490.13,2.137,2.01969,1.44896,0.59609,0.4518,0.48508,0.16948,2.48702,2.31024,2.23046,0.0009208,0.0009208,0.0009208
10,7159.13,2.11697,1.97907,1.43386,0.61332,0.45199,0.49459,0.17277,2.40407,2.09373,2.12627,0.0009109,0.0009109,0.0009109
11,7837.14,2.10625,1.95871,1.42552,0.62349,0.46526,0.50264,0.17384,2.43151,2.20529,2.12393,0.000901,0.000901,0.000901
12,8509.65,2.0971,1.93089,1.42015,0.62638,0.47171,0.51034,0.17416,2.47208,2.10113,2.19015,0.0008911,0.0008911,0.0008911
13,9186.83,2.09005,1.91467,1.41572,0.6279,0.47959,0.51983,0.18019,2.42083,2.00327,2.12784,0.0008812,0.0008812,0.0008812
14,9868.77,2.07499,1.88623,1.4048,0.64338,0.48905,0.5324,0.18907,2.40647,2.01739,2.11595,0.0008713,0.0008713,0.0008713
15,10555.2,2.07528,1.87643,1.40315,0.64609,0.4846,0.53587,0.18933,2.38579,2.06285,2.08548,0.0008614,0.0008614,0.0008614
16,11222.6,2.05573,1.84141,1.39467,0.64895,0.4993,0.54568,0.19747,2.37024,1.94924,2.06208,0.0008515,0.0008515,0.0008515
17,11896.1,2.05955,1.84246,1.39107,0.66489,0.4985,0.55569,0.19778,2.37547,1.93124,2.06362,0.0008416,0.0008416,0.0008416
18,12569.1,2.0443,1.81407,1.38683,0.65901,0.50288,0.55717,0.19783,2.35806,1.9195,2.07222,0.0008317,0.0008317,0.0008317
19,13243.3,2.04113,1.79826,1.37688,0.66299,0.51054,0.56141,0.20003,2.36565,1.88469,2.05006,0.0008218,0.0008218,0.0008218
20,1696.26,2.04575,1.80293,1.39092,0.677,0.50638,0.56565,0.20117,2.34222,1.85253,2.02175,0.0008119,0.0008119,0.0008119
21,3574.21,2.03307,1.77716,1.37946,0.67476,0.51568,0.57364,0.20576,2.33044,1.82019,2.01068,0.000802,0.000802,0.000802
22,1867.52,2.02029,1.74727,1.37544,0.67669,0.5112,0.57036,0.20384,2.33202,1.79662,2.01557,0.0007921,0.0007921,0.0007921
23,3494.49,2.01198,1.74028,1.36678,0.67528,0.52028,0.57828,0.20814,2.31474,1.8074,1.9945,0.0007822,0.0007822,0.0007822
24,4346.02,2.01997,1.76107,1.37062,0.67735,0.52072,0.57768,0.20668,2.33311,1.79722,2.01153,0.0007723,0.0007723,0.0007723
25,5093.53,2.01601,1.74142,1.36911,0.6836,0.51947,0.58021,0.20897,2.32055,1.81306,2.01095,0.0007624,0.0007624,0.0007624
26,5835.22,2.0146,1.73621,1.36424,0.68782,0.52203,0.58506,0.20947,2.31552,1.7727,1.99207,0.0007525,0.0007525,0.0007525
27,6571.73,2.01154,1.7193,1.35967,0.69325,0.53192,0.5926,0.21226,2.29907,1.73236,1.97815,0.0007426,0.0007426,0.0007426
28,7280.13,1.99932,1.71993,1.3587,0.69301,0.53213,0.59519,0.21575,2.29547,1.71508,1.97935,0.0007327,0.0007327,0.0007327
29,8186.03,2.00275,1.70097,1.35578,0.69501,0.53349,0.59775,0.21876,2.27725,1.70267,1.95571,0.0007228,0.0007228,0.0007228
30,8885.65,1.99952,1.69399,1.35287,0.6928,0.53615,0.59912,0.21719,2.30112,1.68041,1.9692,0.0007129,0.0007129,0.0007129
31,9606.64,1.99299,1.67944,1.34825,0.6963,0.53806,0.60058,0.21704,2.29762,1.67707,1.96423,0.000703,0.000703,0.000703
32,10334.4,1.9934,1.68666,1.34601,0.6926,0.54395,0.60235,0.21887,2.2845,1.67597,1.95721,0.0006931,0.0006931,0.0006931
33,11036.7,1.98741,1.67038,1.34278,0.69415,0.54526,0.60383,0.22078,2.27274,1.66568,1.94568,0.0006832,0.0006832,0.0006832
34,11952.3,1.98804,1.67126,1.34604,0.69715,0.543,0.60448,0.22071,2.28092,1.6587,1.95223,0.0006733,0.0006733,0.0006733
35,12639.6,1.98098,1.65617,1.33983,0.70096,0.54419,0.60671,0.22256,2.2813,1.65627,1.94846,0.0006634,0.0006634,0.0006634
36,13324.5,1.98732,1.66065,1.34313,0.70519,0.54,0.60645,0.22189,2.28314,1.65605,1.95134,0.0006535,0.0006535,0.0006535
37,14011.4,1.97223,1.64674,1.33664,0.70359,0.54172,0.60745,0.22326,2.28222,1.65386,1.94664,0.0006436,0.0006436,0.0006436
38,14758.4,1.97643,1.64536,1.33496,0.70274,0.54563,0.60872,0.22299,2.28337,1.6406,1.94599,0.0006337,0.0006337,0.0006337
39,1913.01,1.97194,1.63707,1.33749,0.70422,0.54432,0.60788,0.22198,2.2738,1.66084,1.93605,0.0006238,0.0006238,0.0006238
