epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1842.03,2.01388,1.74812,1.35338,0.71887,0.54569,0.62256,0.26164,2.12423,1.58526,1.84344,0.000430571,0.000399877,0.000399877
2,3750.17,1.99005,1.682,1.33117,0.70112,0.54338,0.61216,0.24618,2.1941,1.57372,1.92207,0.0003736,0.0003736,0.0003736
3,5353.89,1.98558,1.66299,1.32796,0.72311,0.54382,0.62041,0.24871,2.22589,1.6955,1.93878,0.0003472,0.0003472,0.0003472
4,7154.43,1.98841,1.66394,1.3276,0.69994,0.54534,0.60579,0.24143,2.20018,1.69777,1.9063,0.0003208,0.0003208,0.0003208
5,8753.41,1.97747,1.65542,1.32372,0.70664,0.53055,0.60185,0.2337,2.22454,1.56118,1.90202,0.0002944,0.0002944,0.0002944
6,10322.8,1.97483,1.68086,1.34264,0.71397,0.55039,0.62169,0.24986,2.21402,1.60997,1.9085,0.000268,0.000268,0.000268
7,11687.2,1.96726,1.65907,1.3377,0.7093,0.54891,0.61496,0.24006,2.2376,1.57286,1.93513,0.0002416,0.0002416,0.0002416
8,13009.9,1.96704,1.66077,1.33522,0.71435,0.55757,0.62542,0.25661,2.20794,1.56832,1.92635,0.0002152,0.0002152,0.0002152
9,14466,1.96617,1.6551,1.33581,0.71418,0.542,0.60866,0.2456,2.17763,1.73997,1.87596,0.0001888,0.0001888,0.0001888
10,16040.2,1.9699,1.66325,1.3345,0.71762,0.55658,0.62642,0.2551,2.15264,1.52091,1.86322,0.0001624,0.0001624,0.0001624
11,17436.1,1.95459,1.63379,1.32917,0.72116,0.55602,0.62207,0.25098,2.18393,1.84601,1.93881,0.000136,0.000136,0.000136
